organ,query,auc_roc,auc_pr,n_patients,threshold,f1,sensitivity,specificity,precision,npv,tp,tn,fp,fn
liver,intact hepatic parenchyma on CT,0.5353084415584415,0.6152155765672201,100,-1.1118683815002441,0.7272727272727273,1.0,0.045454545454545456,0.5714285714285714,1.0,56,2,42,0
liver,hepatic contusion on contrast-enhanced CT,0.5247564935064934,0.5686054159401296,100,-1.0666836500167847,0.7272727272727273,1.0,0.045454545454545456,0.5714285714285714,1.0,56,2,42,0
liver,severe hepatic trauma with shock,0.5284090909090909,0.626173551221713,100,-0.984528660774231,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,normal liver enhancement pattern,0.5068993506493507,0.5831660600805705,100,-0.9819563627243042,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,hepatic hematoma visible on CT,0.5109577922077921,0.5611286787863117,100,-0.9431020021438599,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,contrast extravasation from liver,0.5166396103896104,0.6019909718392452,100,-1.0251846313476562,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,liver laceration on trauma CT,0.5125811688311688,0.6050022822690759,100,-1.376459002494812,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,hepatic injury on abdominal imaging,0.523538961038961,0.608555838203928,100,-1.2632046937942505,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,CT showing liver injury,0.515827922077922,0.6099313170437055,100,-1.266626000404358,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,hepatic laceration visible on CT scan,0.5332792207792207,0.6193929020658433,100,-1.3933671712875366,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,liver trauma with subcapsular hematoma,0.5198863636363638,0.5710102404234099,100,-0.9503507018089294,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,liver hematoma from blunt trauma,0.515422077922078,0.5788361296828953,100,-0.6304773688316345,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,hepatic parenchymal laceration,0.5247564935064934,0.6171657867490028,100,-1.0285292863845825,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,traumatic liver injury requiring surgery,0.5117694805194806,0.5864023094834332,100,-1.0888044834136963,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,liver capsular tear with hemorrhage,0.4926948051948052,0.5823591491785703,100,-0.9180791974067688,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,grade 3 liver injury with active bleeding,0.5162337662337662,0.6151768874050336,100,-0.9629979133605957,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
liver,grade 4 liver injury with devascularization,0.5109577922077922,0.5914082566358683,100,-1.1078401803970337,0.7225806451612903,1.0,0.022727272727272728,0.5656565656565656,1.0,56,1,43,0
